YMR274C	RCE1	G1(P)	14
YPL082C	MOT1	M	178
YMR006C	PLB2	M	162
YJL183W	MNN11	G1(P)	15
YHR098C	SFB3	G1/S	46
YDR334W		M	146
YMR149W	SWP1	G1(P)	36
YML110C	COQ5	G2/M	144
YER071C		G2	116
YLR300W	EXG1	M	164
YLL031C	GPI13	S	68
YKR075C		G2/M	137
YJL176C	SWI3	G1/S	54
YDR208W	MSS4	M	178
YPL004C	LSP1	M	151
YMR299C		G1	276
YMR262W		M	165
YLR085C	ARP6	G1	206
YIL176C		G1	228
YHR173C		S	60
YGR035C		G1(P)	10
YFR030W	MET10	G1(P)	23
YDR353W	TRR1	G1(P)	20
YAL047C	SPC72	G1	268
YNL176C		S	82
YLR056W	ERG3	G1(P)	30
YJL158C	CIS3	S	66
YHR038W	RRF1	G1/S	52
YFR026C		G1(P)	36
YEL017C-A	PMP2	G1(P)	8
YOR246C		G1(P)	10
YOR112W		G1(P)	30
YMR183C	SSO2	G1	230
YMR096W	SNZ1	G1(P)	37
YLR092W	SUL2	G1(P)	22
YJR154W		G1(P)	20
YJL157C	FAR1	G2/M	136
YJL080C	SCP160	G1(P)	17
YHL003C	LAG1	S	61
YGL184C	STR3	G1	270
YPL061W	ALD6	G2	126
YGR279C	SCW4	G2/M	136
YFL021W	GAT1	M	178
YER031C	YPT31	S	64
YBR184W		S	68
YBL098W	BNA4	G2/M	142
YNR065C		M	174
YMR253C		G1/S	50
YER188W		G1	256
YDR179C	CSN9	S	78
YDL022W	GPD1	M/G1	182
YBR083W	TEC1	M	150
YPL222W		G1	207
YMR261C	TPS3	G2/M	136
YKL183W	LOT5	G1(P)	8
YJL042W	MHP1	G1	220
YDR276C	PMP3	M/G1	186
YOR316C	COT1	M/G1	192
YNL321W		M	152
YLR414C		M	158
YIL155C	GUT2	M	148
YDR407C	TRS120	G1/S	45
YDL195W	SEC31	G1	254
YBR069C	TAT1	G1(P)	5
YPR183W	DPM1	G1(P)	25
YPL128C	TBF1	S	70
YOR356W		G1	284
YOR175C		M	159
YNR033W	ABZ1	S	60
YMR145C	NDE1	G2	106
YGL055W	OLE1	M	155
YCR033W	SNT1	G1	231
YMR094W	CTF13	G1/S	53
YMR077C	VPS20	M	150
YML106W	URA5	G1(P)	13
YKL134C		G2	99
YKL112W	ABF1	M	166
YKL004W	AUR1	G1(P)	14
YGR183C	QCR9	M	154
YDR044W	HEM13	G1/S	39
YBR003W	COQ1	G1/S	50
YPR158W		G1	201
YKL182W	FAS1	G1	256
YJR003C		G1	232
YER154W	OXA1	G1/S	43
YCR075C	ERS1	G1/S	47
YBL105C	PKC1	G2	112
YPL265W	DIP5	G2	128
YPL026C	SKS1	S	74
YOL123W	HRP1	M	162
YNL337W		M	146
YNL091W	NST1	M	160
YNL054W	VAC7	G1(P)	4
YLR378C	SEC61	S	56
YKL148C	SDH1	G2	124
YKL096W	CWP1	G2/M	132
YJL044C	GYP6	M	160
YGR172C	YIP1	G1/S	45
YPL111W	CAR1	S	88
YOR131C		G1/S	44
YNR066C		G1(P)	1
YNL238W	KEX2	G1(P)	8
YNL169C	PSD1	S	80
YLR404W		G1/S	50
YLR381W	CTF3	S	65
YLR254C		M	154
YHR120W	MSH1	S	70
YGL139W		G1(P)	22
YBR133C	HSL7	G2	96
YOL155C		M	162
YOL137W	BSC6	G1(P)	23
YEL031W	SPF1	G1	260
YCR011C	ADP1	M/G1	193
YPR128C	ANT1	G1	258
YNL328C	MDJ2	M	161
YLR461W	PAU4	M	159
YLR398C	SKI2	G1(P)	0
YLL064C		M	176
